sentence,label
laughter friends gathered around bonfire warmed heart,2
wandered forest exploring hidden paths,2
scent roses drifted garden,2
whistled tune walking park,2
crackling leaves underfoot signaled arrival autumn,2
watched sunset top hill,2
aroma chocolate chip cookies baking made mouth water,2
played fetch dog backyard,2
sound waves crashing shore hypnotic,2
sang along favorite song radio,2
scent freshbaked pie filled kitchen,2
skipped rocks across surface lake,2
laughter children playing echoed playground,2
closed eyes listened rustling leaves,2
aroma freshly brewed coffee filled cafe,2
watched sunrise beach,2
scent pine needles filled forest,2
twirled dress feeling carefree,2
sound cicadas filled warm summer evening,2
doodled sketches notebook meetings,2
smell cinnamon spices filled air,2
smiled watched birds flit branch branch,2
crackling campfire provided warmth chilly nights,2
lounged hammock reading book,2
laughter friends gathered around table brought joy,2
skipped sidewalk humming tune,2
scent freshly baked cookies filled house,2
watched clouds drift lazily across sky,2
aroma freshly brewed coffee woke morning,2
danced rain feeling alive free,2
sound distant train whistle filled night air,2
stargazed rooftop lost thought,2
soft patter rain roof soothing,2
curled blanket fireplace,2
scent lavender filled room calming nerves,2
wandered forest exploring hidden trails,2
laughter children playing park brought smile face,2
picked wildflowers field weaving crown,2
aroma baking bread filled kitchen warmth,2
sat porch swing enjoying cool evening breeze,2
crackling leaves underfoot signaled arrival autumn,2
watched sunset top hill feeling peace,2
scent freshly mown grass wafted air,2
played fetch dog backyard sun warming skin,2
laughter children playing echoed neighborhood filling joy,2
closed eyes listened rustling leaves feeling connected nature,2
aroma freshly brewed coffee filled cafe enticing passersby inside,2
watched sunrise beach colors painting sky,2
scent pine needles filled forest invigorating senses,2
twirled dress feeling carefree happy,2
sound cicadas filled warm summer evening symphony nature,2
doodled sketches notebook meetings lost world,2
smell cinnamon spices filled air reminding home,2
smiled watched birds flit branch branch songs filling air,2
crackling campfire provided warmth chilly nights flames dancing darkness,2
lounged hammock reading book afternoon sun dappling skin,2
laughter friends gathered around table brought joy camaraderie,2
skipped sidewalk humming tune heart light carefree,2
scent freshly baked cookies filled house drawing everyone kitchen,2
watched clouds drift lazily across sky everchanging shapes mesmerizing,2
aroma freshly brewed coffee woke morning comforting ritual start day,2
danced rain feeling alive free droplets cooling skin,2
sound distant train whistle filled night air lonesome yet familiar sound,2
stargazed rooftop lost thought twinkling stars source wonder,2
soft patter rain roof soothing lullaby eased sleep,2
curled blanket fireplace crackling flames casting warm glow,2
scent lavender filled room calming nerves helping relax,2
wandered forest exploring hidden trails rustling leaves guiding way,2
laughter children playing park brought smile face innocence infectious,2
picked wildflowers field weaving crown symbol beauty nature,2
aroma baking bread filled kitchen warmth comforting smell reminded home,2
sat porch swing went walk park morning,2
sky clear sun shining brightly,2
stopped smell flowers along way,2
birds chirping trees,2
sat bench watched ducks pond,2
afterwards went cafe ordered cup coffee,2
barista greeted smile,2
took coffee outside enjoyed warm weather,2
people jogging walking dogs,2
listened music headphones strolled,2
saw squirrel scurrying tree,2
waved neighbor passed house,2
noticed new mural painted building,2
colors vibrant eyecatching,2
took picture mural phone,2
stopped bookstore browsed shelves,2
bought novel favorite author,2
plan read later tonight bed,2
walked home admired architecture houses,2
old charming others modern sleek,2
saw children playing park playground,2
laughter filled air brought smile face,2
thought childhood memories playing park,2
felt grateful simple joys life,2
got home made sandwich lunch,2
ate sitting porch watching world go,2
felt content peace,2
decided take nap afternoon,2
curled couch cozy blanket,2
drifted sleep sound birds chirping outside,2
dreamed faroff places grand adventures,2
woke sun setting,2
sky painted shades pink orange,2
watched sunset window,2
felt grateful another beautiful day,2
made cup tea settled book,2
read late night,2
finally finished novel felt satisfied,2
brushed teeth changed pajamas,2
climbed bed closed eyes,2
fell asleep smile face,2
dreamed possibilities tomorrow might bring,2
woke feeling refreshed ready start day,2
stretched yawned got bed,2
made pot coffee wake,2
sat kitchen table checked email,2
replied messages made todo list day,2
decided go run breakfast,2
put running shoes headed door,2
jogged neighborhood enjoying cool morning air,2
waved neighbor passed house,2
ran past park playground,2
saw group kids playing soccer field,2
smiled remembered playing soccer child,2
finished run returned home feeling energized,2
made smoothie breakfast,2
blended together bananas strawberries spinach,2
poured smoothie glass took sip,2
delicious refreshing,2
sat kitchen table enjoyed breakfast,2
checked news phone ate,2
read current events world affairs,2
felt grateful informed world around,2
decided spend day exploring city,2
packed backpack snacks water,2
put comfortable shoes headed door,2
walked streets taking sights sounds,2
visited museums galleries parks,2
stopped cafe lunch ordered sandwich,2
sat outside peoplewatched ate,2
saw people walks life passing,2
felt grateful live diverse vibrant city,2
continued exploration late afternoon,2
walked feet tired stomach growling,2
decided head home rest bit,2
took long hot shower changed comfy clothes,2
made cup tea sat couch,2
turned tv watched movie,2
laughed cried followed story,2
felt grateful simple pleasures life,2
cooked dinner enjoyed quiet evening home,2
read book listened music,2
curled bed drifted sleep,2
dreamed faroff places grand adventures,2
woke feeling refreshed ready start day,2
stretched yawned got bed,2
made pot coffee wake,2
sat kitchen table checked email,2
replied messages made todo list day,2
decided go run breakfast,2
put running shoes headed door,2
jogged neighborhood enjoying cool morning air,2
waved neighbor passed house,2
ran past park playground,2
saw group kids playing soccer field,2
smiled remembered playing soccer child,2
finished run returned home feeling energized,2
made smoothie breakfast,2
blended together bananas strawberries spinach,2
poured smoothie glass took sip,2
delicious refreshing,2
sat kitchen table enjoyed breakfast,2
checked news phone ate,2
read current events world affairs,2
felt grateful informed world around,2
decided spend day exploring city,2
packed backpack snacks water,2
put comfortable shoes headed door,2
walked streets taking sights sounds,2
visited museums galleries parks,2
stopped cafe lunch ordered sandwich,2
sat outside peoplewatched ate,2
saw people walks life passing,2
felt grateful live diverse vibrant city,2
continued exploration late afternoon,2
walked feet tired stomach growling,2
decided head home rest bit,2
took long hot shower changed comfy clothes,2
made cup tea sat couch,2
turned tv watched movie,2
laughed cried followed story,2
felt grateful simple pleasures life,2
cooked dinner enjoyed quiet evening home,2
read book listened music,2
curled bed drifted sleep,2
dreamed faroff places grand adventures,2
